base_user,imp_user,direction,mode,modality,fusion,k,threshold,tau_eer,tn,fp,fn,tp,accuracy,precision,recall,f1,frr,far,eer
user5,user9,user5->user9,multimodal,,mean,,0.6933093667030334,0.5579488277435303,10,0,27,3,0.325,1.0,0.1,0.18181818181818182,0.0,0.9,0.43333333333333335
user6,user1,user6->user1,multimodal,,mean,,0.6590026617050171,0.879971981048584,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user6,user10,user6->user10,multimodal,,mean,,0.6799253821372986,0.8591537475585938,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user6,user11,user6->user11,multimodal,,mean,,0.6714487075805664,0.8763659000396729,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user6,user12,user6->user12,multimodal,,mean,,0.6952987909317017,0.9999974966049194,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user6,user2,user6->user2,multimodal,,mean,,0.6616659164428711,0.9274683594703674,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user6,user3,user6->user3,multimodal,,mean,,0.7353138327598572,0.9490806460380554,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user6,user4,user6->user4,multimodal,,mean,,0.7468446493148804,0.8483996391296387,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user6,user5,user6->user5,multimodal,,mean,,0.6537697315216064,0.8566359877586365,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user6,user7,user6->user7,multimodal,,mean,,0.6959620118141174,0.9997578859329224,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user6,user8,user6->user8,multimodal,,mean,,0.6656978130340576,0.9881715178489685,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user6,user9,user6->user9,multimodal,,mean,,0.6516270637512207,0.85837721824646,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user7,user1,user7->user1,multimodal,,mean,,0.7955282330513,0.8550528883934021,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user7,user10,user7->user10,multimodal,,kofm,4,0.8774999999999995,0.75,10,0,12,18,0.7,1.0,0.6,0.7499999999999999,0.0,0.4,0.0
